clip_sim,gate,is_fake
0.22746636,0.5097197,1
0.3382249,0.48779258,0
0.24885692,0.5117933,1
0.27795258,0.511664,1
0.26516896,0.49279547,0
0.2326417,0.5005635,1
0.21830444,0.48411083,1
0.19508702,0.49800315,1
0.27448425,0.49847254,0
0.28909644,0.504225,1
0.27669203,0.49928322,0
0.2960107,0.52939695,1
0.3315449,0.5025399,1
0.25088516,0.5067148,1
0.25380617,0.5068325,1
0.241506,0.5018417,1
0.34181023,0.48546243,0
0.26236632,0.51209414,1
0.2233122,0.50974697,0
0.31675678,0.5034676,0
0.30477202,0.50823325,0
0.30148458,0.50746125,0
0.27472264,0.50482327,1
0.20986205,0.5024323,1
0.30484933,0.50516033,0
0.3748238,0.50005394,1
0.29579082,0.49390018,0
0.30017954,0.53586626,1
0.26279277,0.5032247,0
0.27611214,0.48078895,0
0.25705552,0.4893849,0
0.20771846,0.4929483,0
0.3166276,0.4965161,0
0.29217154,0.4903613,0
0.29960614,0.4830546,0
0.32297805,0.50804543,0
0.21074344,0.50899315,1
0.10971601,0.4803146,1
0.2948079,0.5318025,1
0.28902832,0.47989488,0
0.30645233,0.51941425,1
0.3235067,0.50118226,0
0.31869945,0.48898402,0
0.18891004,0.51993054,1
0.38550168,0.5070239,0
0.29129252,0.4822254,1
0.26647574,0.50111574,1
0.3076194,0.51527977,1
0.3068148,0.48291567,0
0.31349134,0.5022622,0
0.17864251,0.49912867,1
0.24945709,0.49450874,0
0.35782328,0.4864737,0
0.34651497,0.49521664,0
0.31445277,0.5106085,1
0.34382176,0.50816005,0
0.32405385,0.5075228,0
0.27932057,0.49644828,0
0.23383251,0.49414644,0
0.24212253,0.4955913,0
0.2022084,0.48479262,1
0.12533054,0.48241377,1
0.28006208,0.51617676,0
0.30665153,0.49188778,0
0.29134282,0.47412074,0
0.19342811,0.49545988,1
0.3119189,0.51134527,0
0.30335903,0.49976993,1
0.267177,0.4962661,1
0.25133193,0.5100082,1
0.2709617,0.48748255,0
0.28043187,0.4950439,0
0.40088177,0.5310491,1
0.2601392,0.49166808,0
0.25611904,0.49925217,0
0.2573372,0.49867812,0
0.31744576,0.5165291,1
0.35218924,0.51035017,0
0.2910661,0.4654441,0
0.3399921,0.5088206,0
0.2808045,0.4907974,1
0.33223242,0.5032521,1
0.33039725,0.51048726,1
0.2200606,0.5031918,1
0.22368112,0.4857866,1
0.23014408,0.49869075,1
0.18257126,0.48798993,0
0.1830473,0.49476793,1
0.31686813,0.4873656,1
0.2788312,0.51410955,0
0.15642375,0.4743699,1
0.33656043,0.49311003,1
0.21070671,0.49850893,1
0.32674024,0.5032654,0
0.26160836,0.5022796,1
0.24434058,0.4973986,1
0.34686556,0.49342537,0
0.2830656,0.49513254,0
0.29018742,0.53764725,1
0.19948308,0.5183364,1
0.24332067,0.5195195,1
0.28992122,0.49377874,0
0.28060412,0.49589622,1
0.18570538,0.49642333,1
0.30479258,0.52940106,1
0.30587322,0.50638694,1
0.2913145,0.48325917,0
0.21951377,0.49788725,1
0.33711445,0.5016401,0
0.2985477,0.5176591,1
0.31398937,0.50774056,0
0.19444086,0.5005269,1
0.30970877,0.5027316,0
0.20243403,0.4788425,0
0.20190766,0.50864166,1
0.2122695,0.50504154,1
0.3128487,0.49857327,0
0.21968025,0.50770354,1
0.24541827,0.4789076,0
0.18645874,0.49292967,1
0.2882886,0.51225704,0
0.2872725,0.47937703,0
0.31495517,0.49962997,1
0.24642764,0.50700897,1
0.22580452,0.50403875,1
0.27563947,0.4845289,0
0.28381073,0.49632034,1
0.32848376,0.49694553,0
0.30872118,0.49089447,1
0.20783785,0.50008535,1
0.21281198,0.50273466,1
0.1778629,0.49380895,1
0.25631982,0.5116145,1
0.20224622,0.5015232,1
0.29667157,0.50019044,1
0.24643561,0.5076942,1
0.30510038,0.50384384,0
0.31754142,0.5093992,0
0.28531933,0.48928407,1
0.2718143,0.49188146,0
0.32984683,0.53179103,1
0.25905508,0.5136431,1
0.22883032,0.5022153,1
0.35914952,0.4851674,0
0.22894293,0.51793176,0
0.23916987,0.49748364,1
0.35497546,0.50724,0
0.33524072,0.4952486,0
0.3541738,0.48418877,0
0.34698778,0.5161918,0
0.2848305,0.49755612,1
0.31477857,0.49279952,0
0.2408332,0.50512546,1
0.2640912,0.49327835,0
0.2470296,0.4877377,0
0.28485507,0.5003374,0
0.22654998,0.4991633,1
0.24517483,0.49700108,1
0.27368695,0.50052387,1
0.26338428,0.4962423,0
0.25673282,0.49722484,1
0.12467162,0.49645212,1
0.2337441,0.492177,0
0.3277896,0.50679785,1
0.21888307,0.50339246,1
0.2099028,0.5110827,1
0.15480955,0.4942018,1
0.28885344,0.4765029,0
0.25060338,0.50791824,1
0.28181803,0.49630687,1
0.22624826,0.50895363,1
0.29179192,0.48960665,0
0.37994486,0.48011312,0
0.306253,0.492069,0
0.25429207,0.5065406,0
0.28635553,0.48080516,0
0.34131637,0.4933045,0
0.23931733,0.50565296,1
0.33333528,0.51231056,1
0.28845173,0.4970673,0
0.34484884,0.5033564,0
0.24892265,0.500478,1
0.23773007,0.5073482,1
0.36663967,0.5069292,0
0.35565782,0.5043774,1
