protocol,model,seed,condition,accuracy,macro_f1,precision_fake,recall_fake,f1_fake,brier,ece,auroc,auprc,tn,fp,fn,tp
source,image,13,clean,0.6478893740902475,0.6195502535125177,0.5828054298642534,0.46247755834829446,0.5157157157157157,0.28781765699386597,0.2505411650698085,0.6524417615790132,0.5832857529843534,3163,922,1497,1288
source,image,13,zero_image,0.4053857350800582,0.28845157949249095,0.4053857350800582,1.0,0.5769031589849819,0.26517438888549805,0.15532618518132485,0.5,0.4053857350800582,0,4085,0,2785
source,image,13,zero_text,0.6478893740902475,0.6195502535125177,0.5828054298642534,0.46247755834829446,0.5157157157157157,0.28781765699386597,0.2505411650698085,0.6524417615790132,0.5832857529843534,3163,922,1497,1288
source,image,13,zero_meta,0.6478893740902475,0.6195502535125177,0.5828054298642534,0.46247755834829446,0.5157157157157157,0.28781765699386597,0.2505411650698085,0.6524417615790132,0.5832857529843534,3163,922,1497,1288
source,image,13,zero_cons,0.6478893740902475,0.6195502535125177,0.5828054298642534,0.46247755834829446,0.5157157157157157,0.28781765699386597,0.2505411650698085,0.6524417615790132,0.5832857529843534,3163,922,1497,1288
source,image,42,clean,0.6593886462882096,0.616308257141395,0.6247896803140774,0.4,0.48774080560420313,0.2329064905643463,0.1409793841477695,0.7066673405571463,0.6094377644747015,3416,669,1671,1114
source,image,42,zero_image,0.4053857350800582,0.28845157949249095,0.4053857350800582,1.0,0.5769031589849819,0.25474509596824646,0.11703407521504677,0.5,0.4053857350800582,0,4085,0,2785
source,image,42,zero_text,0.6593886462882096,0.616308257141395,0.6247896803140774,0.4,0.48774080560420313,0.2329064905643463,0.1409793841477695,0.7066673405571463,0.6094377644747015,3416,669,1671,1114
source,image,42,zero_meta,0.6593886462882096,0.616308257141395,0.6247896803140774,0.4,0.48774080560420313,0.2329064905643463,0.1409793841477695,0.7066673405571463,0.6094377644747015,3416,669,1671,1114
source,image,42,zero_cons,0.6593886462882096,0.616308257141395,0.6247896803140774,0.4,0.48774080560420313,0.2329064905643463,0.1409793841477695,0.7066673405571463,0.6094377644747015,3416,669,1671,1114
source,cgf_llm,13,clean,0.6756914119359534,0.659320119912224,0.6079875920899573,0.563016157989228,0.5846383296047726,0.24257773160934448,0.17621534277577894,0.7221956230813349,0.6204480099955809,3074,1011,1217,1568
source,cgf_llm,13,zero_image,0.5851528384279476,0.5827065957741379,0.49086822141050857,0.6272890484739677,0.5507566204287516,0.30167561769485474,0.23917665863856996,0.6251179051967943,0.5206660018942192,2273,1812,1038,1747
source,cgf_llm,13,zero_text,0.6828238719068414,0.6626246173216332,0.6260399334442596,0.5403949730700179,0.5800732318365773,0.2365928739309311,0.16284622347505634,0.7228544242741212,0.6279623762149997,3186,899,1280,1505
source,cgf_llm,13,zero_meta,0.6583697234352256,0.6375374399020994,0.5898277276456112,0.5163375224416517,0.5506413938349608,0.2615160346031189,0.20817138084157588,0.7072320900786473,0.5894899092009174,3085,1000,1347,1438
source,cgf_llm,13,zero_cons,0.6612809315866084,0.6523852315523728,0.5766912257200268,0.6183123877917415,0.596776988390227,0.2485026717185974,0.17323240470222512,0.7046569641087396,0.6191488130449503,2821,1264,1063,1722
source,cgf_llm,42,clean,0.6860262008733624,0.6415898295089563,0.6884753901560624,0.4118491921005386,0.5153898000449337,0.22612833976745605,0.16460458324812732,0.7639588721710333,0.6444326976423017,3566,519,1638,1147
source,cgf_llm,42,zero_image,0.6243085880640465,0.6191047572922127,0.5310786106032906,0.6258527827648115,0.5745838140761497,0.24944905936717987,0.1346637206946485,0.6678937479810754,0.549484761272644,2546,1539,1042,1743
source,cgf_llm,42,zero_text,0.6573508005822416,0.5895606974289088,0.6666666666666666,0.3095152603231598,0.42275625306522807,0.24156364798545837,0.18207416072639662,0.731528757177483,0.6124758239935799,3654,431,1923,862
source,cgf_llm,42,zero_meta,0.6764192139737991,0.6244791625044952,0.6836601307189543,0.3755834829443447,0.48482039397450755,0.2403922826051712,0.19171075699240878,0.7558539913727369,0.6282641756668816,3601,484,1739,1046
source,cgf_llm,42,zero_cons,0.6949053857350801,0.6591169926753162,0.6853146853146853,0.4574506283662478,0.5486649440137812,0.21773427724838257,0.1331805180324434,0.7506623391178041,0.6525053259413403,3500,585,1511,1274
source,cgf,13,text_lowercase,0.6784570596797671,0.6442964121326941,0.647239263803681,0.4545780969479354,0.5340645433452859,0.2579237222671509,0.2143785108612875,0.7217565248346954,0.6295608310731223,3395,690,1519,1266
source,cgf,42,text_lowercase,0.6486171761280931,0.6160082443413233,0.5890542486797887,0.44057450628366246,0.5041084634346754,0.30897092819213867,0.28943387796394693,0.6680531963284688,0.5790970479164297,3229,856,1558,1227
source,cgf,13,text_no_punct,0.6784570596797671,0.6442964121326941,0.647239263803681,0.4545780969479354,0.5340645433452859,0.2579237222671509,0.2143785108612875,0.7217565248346954,0.6295608310731223,3395,690,1519,1266
